start,end,corpus,sent_id,left,node,right,node_sentences,term,selection,root,morph,use,target
83,91,ind_news_2024_1M,166550,"""Dengan menjadi anggota penuh FATF, semakin luas kesempatan untuk Indonesia untuk",memajukan,"kepentingan Indonesia dan merebut peluang emas di kancah internasional menuju Indonesia Emas 2045,"" pungkasnya.","""Dengan menjadi anggota penuh FATF, semakin luas kesempatan untuk Indonesia untuk <m>memajukan</m> kepentingan Indonesia dan merebut peluang emas di kancah internasional menuju Indonesia Emas 2045,"" pungkasnya.",memajukan,y,maju,me-root-kan,met,advancement
60,68,ind_news_2024_1M,59784,"Baduga Sumedang, sebuah komunitas yang memiliki visi untuk",memajukan,kepentingan masyarakat dan kecintaan terhadap Sumedang pun telah memberikan kontribusi besar dalam penyelenggaraan lomba ini.,"Baduga Sumedang, sebuah komunitas yang memiliki visi untuk <m>memajukan</m> kepentingan masyarakat dan kecintaan terhadap Sumedang pun telah memberikan kontribusi besar dalam penyelenggaraan lomba ini.",memajukan,y,maju,me-root-kan,met,advancement
146,154,ind_news_2024_1M,900466,"Sugiono Menlu menambahkan, bergabungnya Indonesia ke BRICS menunjukkan bahwa Indonesia melihat BRICS sebagai wadah yang tepat untuk membahas dan",memajukan,kepentingan negara-negara Selatan Global.,"Sugiono Menlu menambahkan, bergabungnya Indonesia ke BRICS menunjukkan bahwa Indonesia melihat BRICS sebagai wadah yang tepat untuk membahas dan <m>memajukan</m> kepentingan negara-negara Selatan Global.",memajukan,y,maju,me-root-kan,met,advancement
78,86,ind_news_2024_1M,962774,UMA dibentuk dengan tujuan mendekatkan negara-negara di wilayah tersebut dan,memajukan,kepentingan politik dan ekonomi bersama mereka.,UMA dibentuk dengan tujuan mendekatkan negara-negara di wilayah tersebut dan <m>memajukan</m> kepentingan politik dan ekonomi bersama mereka.,memajukan,y,maju,me-root-kan,met,advancement
125,133,ind_news_2024_1M,723150,"Program KTA-nisasi diharapkan mampu meningkatkan keterlibatan dan sinergi antar-anggota di berbagai daerah, khususnya dalam",memajukan,kepentingan usaha dan industri di tingkat lokal.,"Program KTA-nisasi diharapkan mampu meningkatkan keterlibatan dan sinergi antar-anggota di berbagai daerah, khususnya dalam <m>memajukan</m> kepentingan usaha dan industri di tingkat lokal.",memajukan,y,maju,me-root-kan,met,advancement
61,69,ind_news_2024_1M,746345,"RUU pernikahan sesama jenis Thailand akan dibahas di senat,",memajukan,kerajaan tersebut menuju status sebagai negara pertama di Asia Tenggara yang mengakui kesetaraan pernikahan.,"RUU pernikahan sesama jenis Thailand akan dibahas di senat, <m>memajukan</m> kerajaan tersebut menuju status sebagai negara pertama di Asia Tenggara yang mengakui kesetaraan pernikahan.",memajukan,y,maju,me-root-kan,met,advancement
156,164,ind_news_2024_1M,138399,"Dalam pertemuan yang digelar di sela-sela Sidang ke-79 Majelis Umum PBB tersebut, Retno menyatakan bahwa perjanjian tersebut merupakan perwujudan komitmen",memajukan,kerja sama bilateral.,"Dalam pertemuan yang digelar di sela-sela Sidang ke-79 Majelis Umum PBB tersebut, Retno menyatakan bahwa perjanjian tersebut merupakan perwujudan komitmen <m>memajukan</m> kerja sama bilateral.",memajukan,y,maju,me-root-kan,met,advancement
59,67,ind_news_2024_1M,494105,"Lebih lanjut, dia mengatakan bahwa Indonesia harus berani",memajukan,kerja sama energi nuklir jika ingin mewujudkan target transisi energi dan nol emisi karbon.,"Lebih lanjut, dia mengatakan bahwa Indonesia harus berani <m>memajukan</m> kerja sama energi nuklir jika ingin mewujudkan target transisi energi dan nol emisi karbon.",memajukan,y,maju,me-root-kan,met,advancement
35,43,ind_news_2024_1M,415972,Kedua Pemimpin setuju untuk terus,memajukan,"kerja sama ketahanan pangan, terutama terkait dengan perdagangan beras.","Kedua Pemimpin setuju untuk terus <m>memajukan</m> kerja sama ketahanan pangan, terutama terkait dengan perdagangan beras.",memajukan,y,maju,me-root-kan,met,advancement
121,129,ind_news_2024_1M,497956,"Lewat ungkapan tersebut, Gusmao mengakui di tengah gejolak hubungan antarbangsa, Indonesia memiliki peran sentral dalam",memajukan,"kerja sama, toleransi, dan perdamaian.","Lewat ungkapan tersebut, Gusmao mengakui di tengah gejolak hubungan antarbangsa, Indonesia memiliki peran sentral dalam <m>memajukan</m> kerja sama, toleransi, dan perdamaian.",memajukan,y,maju,me-root-kan,met,advancement
